Election_Year,Party,P_Candidate,Result,Incumbency,P_Birth_Year,P_Age,P_Winner_Net_Age,VP_Candidate,VP_Birth_Year,VP_Age,VP_Winner_Net_Age,Electoral_Votes,Vote_Percent,Popular_Vote,Popular_Vote_Percent,First_Term_Approval,Highest_Approval,Lowest_Approval
1796,Federalist,John Adams,W,No,1735,61,8,,,,,71,0.51,,,,,
1796,Democratic-Republican,Thomas Jefferson,L,No,1743,53,,,,,,68,0.49,,,,,
1800,Democratic-Republican,Thomas Jefferson,W,No,1743,57,-8,,,,,73,0.53,,,,,
1800,Federalist,John Adams,L,Yes,1735,65,,,,,,65,0.47,,,,,
1804,Democratic-Republican,Thomas Jefferson,W,Yes,1743,61,14,George Clinton,1739,65,16,162,0.92,,,,,
1804,Federalist,Charles Pinckney,L,No,1757,47,,Rufus King,1755,49,,14,0.08,,,,,
1808,Democratic-Republican,James Madison,W,No,1751,57,6,George Clinton,1739,69,16,122,0.70,,,,,
1808,Federalist,Charles Pinckney,L,No,1757,51,,Rufus King,1755,53,,47,0.27,,,,,
1812,Democratic-Republican,James Madison,W,Yes,1751,61,18,Elbridge Gerry,1744,68,5,128,0.59,,,,,
1812,Federalist,DeWitt Clinton,L,No,1769,43,,Jared Ingersoll,1749,63,,89,0.41,,,,,
1816,Democratic-Republican,James Monroe,W,No,1758,58,-3,Daniel D. Tompkins,1774,42,-22,183,0.84,,,,,
1816,Federalist,Rufus King,L,No,1755,61,,John Howard,1752,64,,34,0.16,,,,,
1820,Democratic-Republican,James Monroe,W,Yes,1758,62,9,Daniel D. Tompkins,1774,46,,231,0.98,,,,,
1820,Independent,John Quincy Adams,L,No,1767,53,,,,,,1,0.00,,,,,
1824,Democratic-Republican,John Quincy Adams,W,No,1767,57,,John C. Calhoun,1782,42,,84,0.32,113122,0.31,,,
1824,Democratic-Republican,Andrew Jackson,L,No,1767,57,0,John C. Calhoun,1782,42,0,99,0.38,151271,0.41,,,
1828,Democratic,Andrew Jackson,W,No,1767,61,0,John C. Calhoun,1782,46,-2,178,0.68,642553,0.56,,,
1828,National-Republican,John Quincy Adams,L,Yes,1767,61,,Richard Rush,1780,48,,83,0.32,500897,0.44,,,
1832,Democratic,Andrew Jackson,W,Yes,1767,65,10,Martin Van Buren,1782,50,-3,219,0.76,701780,0.54,,,
1832,National-Republican,Henry Clay,L,No,1777,55,,John Sergeant,1779,53,,49,0.17,484205,0.37,,,
1836,Democratic,Martin Van Buren,W,No,1782,54,-9,Richard Johnson,1780,56,12,170,0.58,764176,0.51,,,
1836,Whig,William Henry Harrison,L,No,1773,63,,Francis P. Granger,1792,44,,73,0.25,550816,0.37,,,
1840,Whig,William Henry Harrison,W,No,1773,67,9,John Tyler,1790,50,-10,234,0.80,1275390,0.53,,,
1840,Democratic,Martin Van Buren,L,Yes,1782,58,,Richard Johnson,1780,60,,60,0.20,1128854,0.47,,,
1844,Democratic,James K. Polk,W,No,1795,49,-18,George M. Dallas,1792,52,-5,170,0.62,1339494,0.50,,,
1844,Whig,Henry Clay,L,No,1777,67,,Theodore Frelinghuysen,1787,57,,105,0.38,1300004,0.48,,,
1848,Whig,Zachary Taylor,W,No,1784,64,-2,Millard Fillmore,1800,48,-9,163,0.56,1361393,0.47,,,
1848,Democratic,Lewis Cass,L,No,1782,66,,William Butler,1791,57,,127,0.44,1223460,0.43,,,
1852,Democratic,Franklin Pierce,W,No,1804,48,-18,William R. King,1786,66,18,254,0.86,1607510,0.51,,,
1852,Whig,Winfield Scott,L,No,1786,66,,William Graham,1804,48,,42,0.14,1386942,0.44,,,
1856,Democratic,James Buchanan,W,No,1791,65,22,John Breckinridge,1821,35,-14,174,0.59,1836072,0.45,,,
1856,Republican,John C. Fremont,L,No,1813,43,,William L. Dayton,1807,49,,114,0.39,1342345,0.33,,,
1860,Republican,Abraham Lincoln,W,No,1809,51,12,Hannibal Hamlin,1809,51,-8,180,0.59,1865908,0.40,,,
